"soe","total_arrivals","total_arrivals_female","total_arrivals_male"
"Johor",39921317,17584834,22336483
"Kedah",2654195,1031863,1622332
"Kelantan",1170079,562970,607109
"Melaka",140659,77262,63397
"Negeri Sembilan",180482,63406,117076
"Pahang",18038,8048,9990
"Perak",483414,256297,227117
"Perlis",1722362,638370,1083992
"Pulau Pinang",2170037,1156531,1013506
"Sabah",933012,504799,428213
"Sarawak",3821044,1734450,2086594
"Selangor",17315457,7282527,10032930
"Terengganu",263,41,222
"W.P. Labuan",47536,16841,30695